"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "C++", "comment", "blank", "total"
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\templates\licenseplates.html", "HTML", 0, 83, 0, 0, 0, 3, 11, 97
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\templates\new_trucker.html", "HTML", 0, 20, 0, 0, 0, 1, 8, 29
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\tests.py", "Python", 11, 0, 0, 0, 0, 2, 2, 15
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\urls.py", "Python", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\views.py", "Python", 272, 0, 0, 0, 0, 18, 53, 343
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\templates\foundation.html", "HTML", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\templates\home.html", "HTML", 0, 43, 0, 0, 0, 2, 11, 56
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\templates\index.html", "HTML", 0, 21, 0, 0, 0, 1, 6, 28
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\urls.py", "Python", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\leon0\Desktop\development\DockChain-Website-1\webpage\views.py", "Python", 11, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 1506, 1210, 419, 97, 1070, 718, 962, 5982
